Description,Price,Rating,Rating_count,Url
"BLU Studio Mini -5.5HD Smartphone, 32GB+2GB Ram -Black",$69.99,4.0 out of 5 stars,"2,120",http://wwww.amazon.com/BLU-Studio-5-5HD-Smartphone-Black/dp/B07SSCJHT1/ref=sr_1_8?dchild=1&keywords=smartphone&qid=1609390282&sr=8-8
"Samsung Galaxy S20 FE 5G | Factory Unlocked Android Cell Phone | 128 GB | US Version Smartphone | Pro-Grade Camera, 30X Space Zoom, Night Mode | Cloud Navy",$697.30,4.6 out of 5 stars,"1,454",http://wwww.amazon.com/Samsung-Factory-Unlocked-Smartphone-Pro-Grade/dp/B08FYTSXGQ/ref=sr_1_9?dchild=1&keywords=smartphone&qid=1609390282&sr=8-9
"Xiaomi Redmi Note 9 Pro 128GB + 6GB RAM, 6.67"" FHD+ DotDisplay, 64MP AI Quad Camera, Qualcomm Snapdragon 720G LTE Factory Unlocked Smartphone - International Version (Interstellar Grey)",$269.00,4.6 out of 5 stars,"2,024",http://wwww.amazon.com/Xiaomi-DotDisplay-Qualcomm-Snapdragon-Smartphone/dp/B0881TZRTZ/ref=sr_1_10?dchild=1&keywords=smartphone&qid=1609390282&sr=8-10
"Nokia 1.3 Fully Unlocked Smartphone with 5.7"" HD+ Screen, AI-Powered 8 MP Camera and Android 10 Go Edition, Charcoal, 2020 (AT&T/T-Mobile/Cricket/Tracfone/Simple Mobile)",$99.99,3.6 out of 5 stars,198,http://wwww.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A07600922UHFG9ULA28K1&url=%2FNokia-Unlocked-Smartphone-AI-Powered-Charcoal%2Fdp%2FB087V61QD7%2Fref%3Dsr_1_11_sspa%3Fdchild%3D1%26keywords%3Dsmartphone%26qid%3D1609390282%26sr%3D8-11-spons%26psc%3D1&qualifier=1609390282&id=4942200542025081&widgetName=sp_mtf
"Samsung Galaxy A01 (A015M) 16GB, Dual SIM, GSM Unlocked, 5.7” Display Smartphone - International Version - Red",$120.00,4.4 out of 5 stars,288,http://wwww.amazon.com/Samsung-SM-A015M-Display-Unlocked-International/dp/B084V9FKK6/ref=sr_1_12?dchild=1&keywords=smartphone&qid=1609390282&sr=8-12
"BLU VIVO X6-6.1” HD+ Display, 64GB+3GB RAM - Gradient Blue",$109.99,4.1 out of 5 stars,"1,927",http://wwww.amazon.com/BLU-VIVO-X6-6-1-Display-64GB/dp/B0843HCT63/ref=sr_1_13?dchild=1&keywords=smartphone&qid=1609390282&sr=8-13
"BLU Advance S50 -Unlocked LTE Smartphone, 16GB+1GB RAM -Black",$49.99,4.0 out of 5 stars,86,http://wwww.amazon.com/BLU-Advance-Unlocked-Smartphone-Black/dp/B08HW1P1HP/ref=sr_1_14?dchild=1&keywords=smartphone&qid=1609390282&sr=8-14
"Moto G Stylus (2020) - Unlocked Smartphone - US Warranty - 128GB - Mystic Indigo (US Warranty) - Verizon, AT&T, T-Mobile, Sprint, Boost, Cricket, Metro",$319.99,4.4 out of 5 stars,47,http://wwww.amazon.com/Moto-Stylus-Unlocked-Smartphone-Warranty/dp/B087H9FDRM/ref=sr_1_15?dchild=1&keywords=smartphone&qid=1609390282&sr=8-15
"Nokia 2.4 Android 10 Unlocked Smartphone with 2/32 GB Memory, 6.5-Inch HD+ Screen, 2-Day Battery Life, Fingerprint Sensor and Google Assistant, Charcoal (AT&T/T-Mobile/Cricket/Tracfone/Simple Mobile)",$139.00,4.2 out of 5 stars,28,http://wwww.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A09483091735767X10TPT&url=%2FNokia-Unlocked-Smartphone-Fingerprint-Assistant%2Fdp%2FB08JRF9L15%2Fref%3Dsr_1_16_sspa%3Fdchild%3D1%26keywords%3Dsmartphone%26qid%3D1609390282%26sr%3D8-16-spons%26psc%3D1&qualifier=1609390282&id=4942200542025081&widgetName=sp_mtf
"Samsung Galaxy A01 (A015M) 32GB, Dual SIM, GSM Unlocked, 5.7” Display Smartphone - International Version - Red",$122.99,4.4 out of 5 stars,62,http://wwww.amazon.com/Samsung-Galaxy-Unlocked-Display-Smartphone/dp/B08DDH21C1/ref=sr_1_17?dchild=1&keywords=smartphone&qid=1609390282&sr=8-17
"Unlocked Smartphone DOOGEE N30 (2020) Mobile Phone 4GB+128GB Triple Rear Camera 6.55"" Infinity Display Android 10.0 4500mAh 4G Dual SIM Phones Blue",$179.99,4.8 out of 5 stars,21,http://wwww.amazon.com/Unlocked-Smartphone-DOOGEE-N30-Infinity/dp/B08MXV8MFF/ref=sr_1_18?dchild=1&keywords=smartphone&qid=1609390282&sr=8-18
"Samsung Electronics Galaxy Note 20 5G Factory Unlocked Android Cell Phone, US Version, 128GB of Storage, Mobile Gaming Smartphone, Long-Lasting Battery, Mystic Bronze, SM-N981UZNAXAA",$999.99,4.6 out of 5 stars,"2,148",http://wwww.amazon.com/Samsung-Electronics-Smartphone-Long-Lasting-SM-N981UZNAXAA/dp/B08BX8BZ1P/ref=sr_1_19?dchild=1&keywords=smartphone&qid=1609390282&sr=8-19
"Unlocked Smartphone, 6.8"" Ultra HD Incell Curved Screen Phone, 2+16G MTK6580P Four Core Mobile Phone, Dual SIM Cell Phone Unlocked, Free 128G Memory Card for Android 9.1 System (Black)",$143.99,2.5 out of 5 stars,10,http://wwww.amazon.com/Unlocked-Smartphone-Incell-MTK6580P-Android/dp/B08KGGDRYX/ref=sr_1_20?dchild=1&keywords=smartphone&qid=1609390282&sr=8-20
"Nokia 8.3 5G Android Unlocked Smartphone with 8/128 GB Memory, Quad Camera, Dual SIM, and 6.81-Inch Screen, Polar Night",$599.99,4.2 out of 5 stars,27,http://wwww.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg1_1?ie=UTF8&adId=A0457293186NW4C0VN7K9&url=%2FNokia-Android-Unlocked-Smartphone-6-81-Inch%2Fdp%2FB08JQRBWXH%2Fref%3Dsr_1_21_sspa%3Fdchild%3D1%26keywords%3Dsmartphone%26qid%3D1609390282%26sr%3D8-21-spons%26psc%3D1&qualifier=1609390282&id=4942200542025081&widgetName=sp_btf
"Smartphone,6.7in Screen Dual Card Dual Standby face Identification Smart Phone,5‑Point Touch Screen,Front Camera 800W + Back Camera 1300W,Stylish Design,Blue (100‑240V)(US)",$136.99,,,http://wwww.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg1_1?ie=UTF8&adId=A02470081PL9UF9CV4JP7&url=%2FSmartphone-Standby-Identification-5%25E2%2580%2591Point-100%25E2%2580%2591240V%2Fdp%2FB08FMC5X22%2Fref%3Dsr_1_22_sspa%3Fdchild%3D1%26keywords%3Dsmartphone%26qid%3D1609390282%26sr%3D8-22-spons%26psc%3D1&qualifier=1609390282&id=4942200542025081&widgetName=sp_btf
"Unlocked Smartphones Blackview A80 Pro - Bundle Android 10 Pie 4GB+64GB ROM, 6.5"" HD+ Water Drop Screen,8MP Front Camera + 13MP Quad Rear Camera, 4680mAh Battery 4G Dual SIM AT&T Smartphones",$149.99,4.6 out of 5 stars,26,http://wwww.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A082670114EKN32KPOVOB&url=%2FUnlocked-Smartphones-Blackview-A80-Pro%2Fdp%2FB08GZB4GG6%2Fref%3Dsr_1_1_sspa%3Fdchild%3D1%26keywords%3Dsmartphone%26qid%3D1609390327%26sr%3D8-1-spons%26psc%3D1&qualifier=1609390327&id=8895933536272380&widgetName=sp_atf
"TCL 10L, Unlocked Android Smartphone with 6.53"" FHD + LCD Display, 48MP Quad Rear Camera System, 64GB+6GB RAM, 4000mAh Battery - Arctic White",$187.49,4.4 out of 5 stars,902,http://wwww.amazon.com/TCL-Unlocked-Android-Smartphone-Display/dp/B087LY84RT/ref=sr_1_2?dchild=1&keywords=smartphone&qid=1609390327&sr=8-2
"OUKITEL WP8 Pro (2020) Rugged Smartphone, 6.49” Display, 4GB 64GB Dual SIM IP68 Waterproof Unlocked Cell Phones, 16MP Triple Camera Android 10, 5000mAh Battery Face/Fingerprint ID, GPS NFC, Orange",$189.99,4.4 out of 5 stars,147,http://wwww.amazon.com/OUKITEL-WP8-Pro-Smartphone-Fingerprint/dp/B08HRJM99F/ref=sr_1_3?dchild=1&keywords=smartphone&qid=1609390327&sr=8-3
"Samsung Galaxy A20s, 32GB, Dual-SIM Smartphone, GSM Unlocked (Worldwide) - Blue",$209.99,4.3 out of 5 stars,"8,492",http://wwww.amazon.com/Samsung-Dual-SIM-Smartphone-Unlocked-Worldwide/dp/B08L6X1DH2/ref=sr_1_4?dchild=1&keywords=smartphone&qid=1609390327&sr=8-4
"BLU G90 Pro – 6.5” HD+ Gaming Smartphone, Quad Camera, 128GB+4GB RAM – Purple Haze",$219.99,4.5 out of 5 stars,535,http://wwww.amazon.com/BLU-G90-Pro-Gaming-Smartphone/dp/B08C6XBCRT/ref=sr_1_5?dchild=1&keywords=smartphone&qid=1609390327&sr=8-5
"TCL 10L, Unlocked Android Smartphone with 6.53"" FHD + LCD Display, 48MP Quad Rear Camera System, 64GB+6GB RAM, 4000mAh Battery",$187.49,4.4 out of 5 stars,902,http://wwww.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A072294824T2HMDBXX0G0&url=%2FTCL-Unlocked-Android-Smartphone-Display%2Fdp%2FB087LYQ22N%2Fref%3Dsr_1_6_sspa%3Fdchild%3D1%26keywords%3Dsmartphone%26qid%3D1609390327%26sr%3D8-6-spons%26psc%3D1&qualifier=1609390327&id=8895933536272380&widgetName=sp_mtf
"Samsung Galaxy A01 (A015M) 32GB, Dual SIM, GSM Unlocked, 5.7” Display Smartphone - International Version - Black",$119.99,4.2 out of 5 stars,105,http://wwww.amazon.com/Samsung-Galaxy-Unlocked-Display-Smartphone/dp/B08BS55YDC/ref=sr_1_7?dchild=1&keywords=smartphone&qid=1609390327&sr=8-7
"BLU Studio Mini -5.5HD Smartphone, 32GB+2GB Ram -Black",$69.99,4.0 out of 5 stars,"2,120",http://wwww.amazon.com/BLU-Studio-5-5HD-Smartphone-Black/dp/B07SSCJHT1/ref=sr_1_8?dchild=1&keywords=smartphone&qid=1609390327&sr=8-8
"Samsung Galaxy S20 FE 5G | Factory Unlocked Android Cell Phone | 128 GB | US Version Smartphone | Pro-Grade Camera, 30X Space Zoom, Night Mode | Cloud Navy",$697.30,4.6 out of 5 stars,"1,454",http://wwww.amazon.com/Samsung-Factory-Unlocked-Smartphone-Pro-Grade/dp/B08FYTSXGQ/ref=sr_1_9?dchild=1&keywords=smartphone&qid=1609390327&sr=8-9
"Xiaomi Redmi Note 9 Pro 128GB + 6GB RAM, 6.67"" FHD+ DotDisplay, 64MP AI Quad Camera, Qualcomm Snapdragon 720G LTE Factory Unlocked Smartphone - International Version (Interstellar Grey)",$269.00,4.6 out of 5 stars,"2,024",http://wwww.amazon.com/Xiaomi-DotDisplay-Qualcomm-Snapdragon-Smartphone/dp/B0881TZRTZ/ref=sr_1_10?dchild=1&keywords=smartphone&qid=1609390327&sr=8-10
"Nokia 1.3 Fully Unlocked Smartphone with 5.7"" HD+ Screen, AI-Powered 8 MP Camera and Android 10 Go Edition, Charcoal, 2020 (AT&T/T-Mobile/Cricket/Tracfone/Simple Mobile)",$99.99,3.6 out of 5 stars,198,http://wwww.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A07600922UHFG9ULA28K1&url=%2FNokia-Unlocked-Smartphone-AI-Powered-Charcoal%2Fdp%2FB087V61QD7%2Fref%3Dsr_1_11_sspa%3Fdchild%3D1%26keywords%3Dsmartphone%26qid%3D1609390327%26sr%3D8-11-spons%26psc%3D1&qualifier=1609390327&id=8895933536272380&widgetName=sp_mtf
"Samsung Galaxy A01 (A015M) 16GB, Dual SIM, GSM Unlocked, 5.7” Display Smartphone - International Version - Red",$120.00,4.4 out of 5 stars,288,http://wwww.amazon.com/Samsung-SM-A015M-Display-Unlocked-International/dp/B084V9FKK6/ref=sr_1_12?dchild=1&keywords=smartphone&qid=1609390327&sr=8-12
"BLU VIVO X6-6.1” HD+ Display, 64GB+3GB RAM - Gradient Blue",$109.99,4.1 out of 5 stars,"1,927",http://wwww.amazon.com/BLU-VIVO-X6-6-1-Display-64GB/dp/B0843HCT63/ref=sr_1_13?dchild=1&keywords=smartphone&qid=1609390327&sr=8-13
"BLU Advance S50 -Unlocked LTE Smartphone, 16GB+1GB RAM -Black",$49.99,4.0 out of 5 stars,86,http://wwww.amazon.com/BLU-Advance-Unlocked-Smartphone-Black/dp/B08HW1P1HP/ref=sr_1_14?dchild=1&keywords=smartphone&qid=1609390327&sr=8-14
"Moto G Stylus (2020) - Unlocked Smartphone - US Warranty - 128GB - Mystic Indigo (US Warranty) - Verizon, AT&T, T-Mobile, Sprint, Boost, Cricket, Metro",$319.99,4.4 out of 5 stars,47,http://wwww.amazon.com/Moto-Stylus-Unlocked-Smartphone-Warranty/dp/B087H9FDRM/ref=sr_1_15?dchild=1&keywords=smartphone&qid=1609390327&sr=8-15
"Nokia 2.4 Android 10 Unlocked Smartphone with 2/32 GB Memory, 6.5-Inch HD+ Screen, 2-Day Battery Life, Fingerprint Sensor and Google Assistant, Charcoal (AT&T/T-Mobile/Cricket/Tracfone/Simple Mobile)",$139.00,4.2 out of 5 stars,28,http://wwww.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A09483091735767X10TPT&url=%2FNokia-Unlocked-Smartphone-Fingerprint-Assistant%2Fdp%2FB08JRF9L15%2Fref%3Dsr_1_16_sspa%3Fdchild%3D1%26keywords%3Dsmartphone%26qid%3D1609390327%26sr%3D8-16-spons%26psc%3D1&qualifier=1609390327&id=8895933536272380&widgetName=sp_mtf
